Group,sent_type,struc,prime_type,verb,verb_num,sent_id,sentence,question,response,truncated
list_1A,filler,filler,NA,NA,NA,Filler48,Adam's hand shook slightly as,Was Adam trying to unlock a door?,Yes,yes
list_1A,prime,rrc,NA,recorded,1,recorded1,The priest recorded by the mob preached against violence.,NA,NA,no
list_1A,prime,rrc,NA,recorded,2,recorded2,The management recorded by the employee talked about the importance of privacy.,NA,NA,no
list_1A,target,rrc,rrc,recorded,3,recorded3,The dancer recorded,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler47,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes,no
list_1A,prime,urc,NA,loved,1,loved1,The landlord who was loved by his tenants was very considerate.,NA,NA,no
list_1A,prime,urc,NA,loved,2,loved2,The comedian who was loved by the audience impersonated a famous celebrity.,NA,NA,no
list_1A,target,rrc,urc,loved,3,loved3,The kid loved,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler46,Maria went upstairs to,Did Maria change into a dress?,No,yes
list_1A,prime,urc,NA,described,1,described1,The boy who was described by the lady glowed with joy.,NA,NA,no
list_1A,prime,urc,NA,described,2,described2,The secretary who was described by the visitor waited patiently.,NA,NA,no
list_1A,target,rrc,urc,described,3,described3,The chemist described,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler45,Patrick woke up to,Were Patrick's parents around when he woke up?,No,yes
list_1A,filler,filler,NA,NA,NA,Filler13,The friends studied,Did the friends study independently?,No,yes
list_1A,filler,filler,NA,NA,NA,Filler9,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,Yes,no
list_1A,prime,amv,NA,examined,1,examined1,The defendant examined the lawyer and turned out to be unreliable.,NA,NA,no
list_1A,prime,amv,NA,examined,2,examined2,The engineer examined a licensor and passed with flying colors.,NA,NA,no
list_1A,target,rrc,amv,examined,3,examined3,The industrialist examined,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler6,The married couple arose before dawn in order to prepare for the trip.,Did the couple wake up early?,Yes,no
list_1A,filler,filler,NA,NA,NA,Filler44,The bulldozers were removing,Was the building destroyed?,Yes,yes
list_1A,filler,filler,NA,NA,NA,Filler22,The rabbit hopped,Did the rabbit make it to the other side safely?,Yes,yes
list_1A,prime,urc,NA,envied,1,envied1,The officer who was envied by the assistant quit the job.,NA,NA,no
list_1A,prime,urc,NA,envied,2,envied2,The principal who was envied by the administration complained about the school's problems.,NA,NA,no
list_1A,target,rrc,urc,envied,3,envied3,The man envied,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler43,The contestants ate,Did the contestants eat less than 10 hot dogs?,No,yes
list_1A,prime,urc,NA,captured,1,captured1,The policeman who was captured by the kidnapper refused to divulge any information.,NA,NA,no
list_1A,prime,urc,NA,captured,2,captured2,The witch who was captured by the peasant cackled gleefully.,NA,NA,no
list_1A,target,rrc,urc,captured,3,captured3,The suspect captured,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler16,The deer froze in,Were the deer scared?,Yes,yes
list_1A,filler,filler,NA,NA,NA,Filler23,The businessman strode,Was the businessman determined?,Yes,yes
list_1A,filler,filler,NA,NA,NA,Filler3,A different kind of fire arose within Andrew as he thought about the new idea.,Was Andrew passionate about the idea?,Yes,no
list_1A,filler,filler,NA,NA,NA,Filler42,The dieting boy deprived himself of sweets and sugars.,Did the boy want to be healthier?,Yes,no
list_1A,prime,urc,NA,scratched,1,scratched1,The girl who was scratched by the cat enjoyed the sunny afternoon.,NA,NA,no
list_1A,prime,urc,NA,scratched,2,scratched2,The toddler who was scratched by the table exclaimed in surprise.,NA,NA,no
list_1A,target,rrc,urc,scratched,3,scratched3,The dog scratched,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler41,They drew lots to settle who should make dinner that day.,Did they draw lots to decide who should make lunch?,No,no
list_1A,prime,rrc,NA,consoled,1,consoled1,The widow consoled by her family felt better eventually.,NA,NA,no
list_1A,prime,rrc,NA,consoled,2,consoled2,The teenager consoled by the friend went back home sullenly.,NA,NA,no
list_1A,target,rrc,rrc,consoled,3,consoled3,The woman consoled,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler40,The flags in the gym,Were the flags chosen at random?,No,yes
list_1A,prime,amv,NA,attacked,1,attacked1,The troops attacked the terrorists and suffered heavy losses.,NA,NA,no
list_1A,prime,amv,NA,attacked,2,attacked2,The lion attacked the hunter and staggered back into the forest.,NA,NA,no
list_1A,target,rrc,amv,attacked,3,attacked3,The senator attacked,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler15,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,Yes,no
list_1A,filler,filler,NA,NA,NA,Filler39,The wallpaper was,Was the wallpaper a bad choice?,No,yes
list_1A,prime,prog_rrc,NA,paid,1,paid1,The cashier being paid by the customer muttered something inaudibly.,NA,NA,no
list_1A,prime,prog_rrc,NA,paid,2,paid2,The organization being paid by the government expanded its misson.,NA,NA,no
list_1A,target,rrc,prog_rrc,paid,3,paid3,The broker paid,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler38,The school principal worked,Was the principal busy?,Yes,yes
list_1A,prime,rrc,NA,accompanied,1,accompanied1,The prince accompanied by the duke arrived at the palace.,NA,NA,no
list_1A,prime,rrc,NA,accompanied,2,accompanied2,The children accompanied by their guardian skipped to the park.,NA,NA,no
list_1A,target,rrc,rrc,accompanied,3,accompanied3,The toddler accompanied,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler37,The girls on the basketball team,Were the girls lazy all summer?,No,yes
list_1A,prime,amv,NA,recognized,1,recognized1,The man recognized the spy and took off down the street.,NA,NA,no
list_1A,prime,amv,NA,recognized,2,recognized2,The actor recognized the reporter and waved enthusiastically.,NA,NA,no
list_1A,target,rrc,amv,recognized,3,recognized3,The poet recognized,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler36,Each of the cab drivers had their own favorite route to get to the airport.,Was there more than one way to get to the airport?,Yes,no
list_1A,prime,prog_rrc,NA,chased,1,chased1,The dog being chased by the boy played with the ball.,NA,NA,no
list_1A,prime,prog_rrc,NA,chased,2,chased2,The monkey being chased by a hatter stole his hats.,NA,NA,no
list_1A,target,rrc,prog_rrc,chased,3,chased3,The thief chased,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler35,The storekeepers were afraid that,Were some people worried about the hometeam winning?,Yes,yes
list_1A,prime,rrc,NA,studied,1,studied1,The soldier studied by the general moved up in ranks.,NA,NA,no
list_1A,prime,rrc,NA,studied,2,studied2,The writer studied by the scholar wrote a radical book.,NA,NA,no
list_1A,target,rrc,rrc,studied,3,studied3,The apprentice studied,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler34,The bathroom paint was,Was the paint in the hotel bathrooms in good shape?,No,yes
list_1A,prime,rrc,NA,betrayed,1,betrayed1,The politician betrayed by the party denied the allegations.,NA,NA,no
list_1A,prime,rrc,NA,betrayed,2,betrayed2,The king betrayed by the genie arrested the innocent woman.,NA,NA,no
list_1A,target,rrc,rrc,betrayed,3,betrayed3,The businessman betrayed,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler14,The woman eagerly waited,Was the woman looking forward to hearing some news?,Yes,yes
list_1A,filler,filler,NA,NA,NA,Filler33,All the parents at the meeting,Did the parents like the new policy?,No,yes
list_1A,prime,amv,NA,challenged,1,challenged1,The protestors challenged the authority and marched on the streets.,NA,NA,no
list_1A,prime,amv,NA,challenged,2,challenged2,The scientist challenged the journalist and demonstrated the value of the invention.,NA,NA,no
list_1A,target,rrc,amv,challenged,3,challenged3,The dragon challenged,NA,NA,yes
list_1A,filler,filler,NA,NA,NA,Filler8,The student pretended,Was the student really sick?,No,yes
